Segmentation,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,KMCluster,HCCluster
D,462809,Male,No,22,No,Healthcare,1.0,Low,4.0,Cat_4,5,4
A,462643,Female,Yes,38,Yes,Engineer,,Average,3.0,Cat_4,3,3
B,466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,3,3
B,461735,Male,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,4,1
A,462669,Female,Yes,40,Yes,Entertainment,,High,6.0,Cat_6,3,3
C,461319,Male,Yes,56,No,Artist,0.0,Average,2.0,Cat_6,1,6
C,460156,Male,No,32,Yes,Healthcare,1.0,Low,3.0,Cat_6,7,8
D,464347,Female,No,33,Yes,Healthcare,1.0,Low,3.0,Cat_6,2,7
D,465015,Female,Yes,61,Yes,Engineer,0.0,Low,3.0,Cat_7,3,3
C,465176,Female,Yes,55,Yes,Artist,1.0,Average,4.0,Cat_6,3,3
A,464041,Female,No,26,Yes,Engineer,1.0,Low,3.0,Cat_6,2,7
D,464942,Male,No,19,No,Healthcare,4.0,Low,4.0,Cat_4,5,4
D,461230,Female,No,19,No,Executive,0.0,Low,,Cat_3,6,5
A,459573,Male,Yes,70,No,Lawyer,,Low,1.0,Cat_6,1,6
B,460849,Female,Yes,58,No,Doctor,0.0,Low,1.0,Cat_3,8,2
C,460563,Female,No,41,No,Healthcare,1.0,Low,2.0,Cat_1,6,5
D,466865,Female,No,32,No,Homemaker,9.0,Low,5.0,Cat_3,6,5
B,461644,Male,No,31,No,Healthcare,1.0,Low,6.0,Cat_6,5,4
B,466772,Male,Yes,58,Yes,Entertainment,1.0,Average,4.0,Cat_6,4,1
C,464291,Female,Yes,79,Yes,Artist,0.0,High,1.0,Cat_6,3,3
A,466084,Male,Yes,49,Yes,Homemaker,12.0,Low,1.0,Cat_3,4,1
D,459675,Female,No,18,No,Healthcare,3.0,Low,4.0,Cat_6,6,5
A,465602,Male,Yes,33,Yes,Artist,13.0,Low,2.0,Cat_3,4,1
B,459168,Female,No,36,Yes,Artist,5.0,Low,2.0,Cat_6,2,7
B,461021,Female,,58,No,Executive,1.0,Average,3.0,Cat_3,8,2
C,465083,Male,Yes,56,No,Artist,1.0,Average,3.0,Cat_6,1,6
A,467604,Male,No,31,No,Healthcare,9.0,Low,8.0,Cat_4,5,4
C,459717,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,4,1
B,465882,Male,No,35,Yes,Artist,0.0,Low,1.0,Cat_6,7,8
C,461996,Female,No,35,No,Artist,5.0,Low,4.0,Cat_6,6,5
C,463331,Female,Yes,45,Yes,Artist,0.0,Low,3.0,Cat_6,3,3
A,462216,Female,Yes,42,No,Doctor,1.0,Low,2.0,Cat_4,8,2
D,462454,Male,No,19,No,Healthcare,1.0,Low,3.0,Cat_2,5,4
D,467010,Male,No,26,No,Homemaker,9.0,Low,,Cat_6,5,4
D,459861,Female,Yes,83,No,Lawyer,1.0,High,2.0,Cat_6,8,2
D,467917,Female,No,27,Yes,Healthcare,3.0,Low,4.0,Cat_1,2,7
D,465572,Male,No,32,No,Doctor,5.0,Low,1.0,Cat_4,5,4
D,460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,8,2
A,465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,3,3
C,467442,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6,4,1
B,462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,2,7
D,465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,6,5
A,464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,2,7
C,466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,3,3
A,466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,1,6
A,463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,8,2
B,465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,4,1
A,462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7,2,7
D,462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,5,4
A,464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,2,7
B,462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,8,2
C,467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,3,3
A,461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,4,1
C,462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,3,3
A,464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,1,6
B,462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,4,1
D,465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,7,8
D,462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,7,8
C,465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,3,3
D,460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,4,1
C,461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,4,1
C,466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,4,1
D,464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,4,1
A,464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,4,1
A,463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,4,1
A,461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,7,8
A,464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,4,1
A,464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,5,4
B,465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,4,1
A,467208,Female,Yes,39,Yes,Homemaker,,High,2.0,Cat_6,3,3
D,459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,4,1
A,460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,3,3
